Class,Category,Description Code,Occupation Description,
000,BING1, ,BINGO OPERATOR,
,BING2, ,BINGO LESSOR,
,NCLUB, ,NIGHT CLUB,
,,,,
RMC,**,**,RESTRICTED MUNICIPAL CONTRACTING,
MMC,**,**,MULTI-MUNICIPAL CONTRACTOR,
**    =,Description Code depends on Contractor BT Receipt Category,,,
,and municipality alpha code they request (if RMC),,,
,,,,
173,NON, ,NON-PROFIT CHAR / REL / EDUC,
183,PAR, ,PARI-MUTUEL WAGERING,
186,FAR, ,FARMERS MARKET,
186,PAC, ,PACKING / PROCESSING PRODUCE,
188,OCC, ,OCCASIONAL SALES - EXEMPT,
189,FIL, ,FILM INDUSTRY,
190,ADV, ,ADVERTISING SPACE RENTAL,
191,CAR, ,CARNIVAL - SPONSORED,
191,FAC, ,AMUSMNT FACILITY/DEV (NONCOIN), 
,,CEN,AMUSEMENT CENTER/FACILITY,
,,NON,AMUSEMENT DEVICE (NON COIN),
,,RID,AMUSEMENT RIDE,
192,APT, ,APARTMENTS,
192,FLE, ,FLEA MARKET,
192,HAL, ,HALL FOR HIRE,
192,HOT, ,HOTEL/MOTEL/ BOARDING HOUSE,
192,LES, ,COMMERCL/INDUST/OFFICE SPACE,
192,MOB, ,MOBILE HOME PARK / CAMPGROUND, 
192,PAR, ,PARKING FACILITY,
192,SEL, ,SELF STORAGE,
192,TIM, ,TIME SHARE PROPERTY,
193,CEM, ,"CEMETERY / CREMATORIES, ETC.",
194,CIR,  ,CIRCUS / CARNIVAL (NO SPONSOR),
195,CAT, ,CATERING BUSINESS,
195,EAT, ,EATING ESTABLISHMENT,
196,BLDG1, ,GENERAL BUILDING CONTRACTOR,
196,BLDG2, ,SUB-GENERAL BLDG CONTRACTOR,
196,BLDG3, ,SUB-BUILDING CONTRACTOR,
196,BLDGS, ,SPECIALTY BUILDING CONTRACTOR,
196,BLDS,  ,SPECIALTY BUILDING CONTRACTOR,
196,ELEC, ,ELECTRICAL CONTRACTOR,
196,ELECS, ,SPEC ELECTRICAL CONTRACTOR,
196,ENGR, ,GENERAL ENGINEERING CONTRACTOR, 
196,ENGRS, ,SPECIALTY ENGINEERING CONTRACT,
196,MECH, ,GENERAL MECHANICAL CONTRACTOR,
196,MECHS, ,SPEC MECHANICAL CONTRACTOR,
196,PLUM, ,PLUMBING CONTRACTOR,
196,PLUMS, ,SPECIALTY PLUMBING CONTRACTOR,
197,CRU, ,CRUISE LINES / DINNER CRUISE,
197,DAE, ,DANCING OR ENTERTAINMENT,
197,DAT, ,DATING / ESCORT BUSINESS,
197,SPO, ,PROFESSIONAL SPORTS TEAM,
198,CABF, ,CABLE TV FRANCHISE,
198,ELEF, ,ELECTRIC PLANT FRANCHISE,
198,GAS, ,GAS PLANT,
198,SAT, ,SATELLITE TV,
,,SMA,SATELLITE MASTER ANTENNA TV,
,,TVA,COMMUNITY TV ANTENNA,
199,FOR, ,FORTUNETELLER,
,,AST,ASTROLOGY/PALM READER,
,,OCC,OCCULT SCIENCE,
202,TIT, ,TITLE INSURANCE / ABSTRACT CO, 
203,DLR, ,USED MOTOR VEHICLE PARTS DLR,
203,JYD, ,JUNK DEALER / JUNK YARD,
203,LAN, ,LANDFILL / GARBAGE DUMP,
203,SCR, ,SCRAP METAL PROCESSING,
204,TRA, ,TRAVELING JUNK DEALER,
205,DLR, ,LPG DEALER / MFG,
205,LPGX, ,DEALER/DISTR/INSTALLATION,
205,LPGXS, ,LPG INSTALLER,
205,TAN, ,LPG TANK REFILL,
206,FOO, ,FOOD PRODUCTS MFG / PROCESS,
,,BAK,BAKERY,
,,CAN,CANNING/BOTTLING,
,,FPR,FOOD PROCESSING,
206,LAB, ,DENTAL LAB,
206,MFG, ,MFG/RECYCLING/PROCESSING,
,,APP,APPAREL/ACCESSORY MFG,
,,ASS,ASSEMBLY/FABRICATING,
,,CAB,CABINETS/WOODWORKING MFG,
,,FIL,FILM/PHOTO PROCESS/DEVELOP,
,,GUN,FIREARMS MFG,
,,KEY,KEYMAKING,
,,MNF,MANUFACTURING,
,,PRO,PROCESSING PLANT,
,,QUA,QUARRYING/MINING,
,,REC,RECYCLING/REFINERS,
,,TAI,TAILOR/DRESSMAKING,
207,BBB, ,BAIL BOND BUSINESS,
207,BLO, ,BLOOD BANK CENTER,
207,COO,  ,PROMOTER / COORDINATOR,
207,EXC, ,FITNESS CENTER (NON MEMBER),
207,FIT, ,FITNESS CENTER (MEMBERSHIP),
207,HMO, ,HEALTH/DENTAL/MAINTN ORG,
207,MEM, ,MEMBERSHIP ORGANIZATION,
207,MUL, ,MULTIPLE SERVICE BUSINESS (3+, 
,,MAI,MAILING FACILTIY,
,,MUB,MULTIPLE BUSINESS-MEMO,
207,OFF,  ,ADMIN OFFICE/OPERATION CTR,
